14400*pi**2	28521.4605024898	56.9396413595979
40000*pi**2	66664.4796453160	134.474038938360
78400*pi**2	123630.078908019	255.457383459289
129600*pi**2	199687.534145127	426.351369236008
193600*pi**2	295318.559681126	655.181567367824
270400*pi**2	411201.562500000	952.208196363886
360000*pi**2	544278.251625709	1321.03339866087
462400*pi**2	699901.747191251	1782.29269394017
577600*pi**2	872704.363839323	2337.11917553905
705600*pi**2	1065826.35348883	3003.74585792042
846400*pi**2	1284444.44444444	3806.58427316205
